"YEAR","CASEID","SERIAL","REGION","FAMINCOME","HH_SIZE","HHTENURE","HH_CHILD","HOUSETYPE","HH_NUMKIDS","AGEYCHILD","HH_NUMADULTS","PERNUM","LINENO","DAY","WT06","AGE","SEX","RACE","HISPAN","ASIAN","MARST","EDUC","EMPSTAT","MULTJOBS","WHYABSNT","FULLPART","UHRSWORKT","EARNWEEK","SPOUSEPRES","SPAGE","SPSEX","SPRACE","SPHISPAN","SPEDUC","SPEMPSTAT","SPUSUALHRS","SPEARNWEEK","DIFFANY","ECPRIOR","BLS_CAREHH","BLS_CARENHH","BLS_COMM","BLS_EDUC","BLS_FOOD","BLS_HHACT","BLS_LEIS","BLS_PCARE","BLS_PURCH","BLS_SOCIAL","BLS_WORK"
2023,20230101231112,44,3,15,2,1,0,1,0,999,2,1,1,7,2926631.168156000,65,2,100,100,999,1,41,5,99,999,99,9999,99999.99,1,79,1,100,100,40,4,999,99999.98,1,0,0,0,0,0,155,0,360,815,110,0,0
2023,20230101231119,45,2,1,1,1,0,1,0,999,1,1,1,3,10488873.77658600,60,1,131,100,20,4,40,5,99,999,99,9999,99999.99,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,90,0,180,45,585,540,0,0,0
2023,20230101231127,46,1,15,2,1,0,1,0,999,2,1,1,2,18721143.55412200,40,2,100,100,999,1,43,1,0,999,1,37,2375.4,1,46,1,100,100,30,1,37,1048.71,1,0,0,0,21,0,45,70,30,1152,60,0,2
2023,20230101231150,47,4,14,2,1,0,1,0,999,2,1,1,5,8010104.154725000,62,1,100,100,999,1,40,1,0,999,1,45,2307.69,1,60,2,100,100,30,3,999,99999.98,1,1,0,10,0,0,80,30,75,500,0,185,560
2023,20230101231151,48,3,15,3,1,0,1,0,999,3,1,1,5,16666925.89384800,36,2,100,100,999,1,40,1,0,999,2,30,99999.99,1,38,1,100,100,42,1,40,1923.07,1,0,0,0,0,0,100,235,70,528,92,0,295
2023,20230101231154,49,4,13,2,1,0,1,0,999,2,1,1,1,2761659.352207000,73,2,100,100,999,1,42,5,99,999,99,9999,99999.99,1,75,1,100,100,42,4,999,99999.98,1,1,0,0,90,0,30,20,505,525,0,270,0
2023,20230101231156,50,1,11,2,1,0,1,0,999,2,1,1,3,7657671.566599000,74,1,100,100,999,1,21,5,99,999,99,9999,99999.99,1,79,2,100,100,32,3,999,99999.98,1,1,0,0,0,0,105,195,405,615,120,0,0
2023,20230101231166,51,1,14,7,1,1,1,4,10,3,1,1,1,5628467.147677000,50,1,100,100,999,1,31,1,0,999,1,40,1400.0,1,50,2,100,100,31,3,999,99999.98,1,0,10,0,0,0,60,155,470,555,0,190,0
2023,20230101231169,52,2,7,3,2,0,1,0,999,3,1,1,5,48516225.53573200,21,1,100,243,999,6,16,1,0,999,2,30,378.0,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,0,90,70,300,300,630,0,0,0
2023,20230101231180,53,3,6,2,1,0,1,0,999,2,1,1,1,4420134.528921000,59,2,100,100,999,3,30,5,99,999,99,9999,99999.99,3,999,99,9999,9999,999,99,999,99999.99,2,0,0,0,0,0,45,0,825,570,0,0,0
2023,20230101231199,54,3,12,1,1,0,5,0,999,1,1,1,5,7697986.065839000,59,1,100,100,999,4,21,1,0,999,1,40,2134.6,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,0,0,87,42,155,516,0,0,640
2023,20230101231201,55,3,7,2,1,0,1,0,999,2,1,1,6,14055539.22529300,85,1,100,100,999,1,20,1,0,999,1,9995,99999.99,1,80,2,100,100,21,5,999,99999.98,1,0,0,0,0,0,75,735,120,510,0,0,0
2023,20230101231212,56,3,9,2,2,0,1,0,999,2,1,1,4,15827358.63010900,61,1,110,220,999,4,21,5,99,999,99,9999,99999.99,3,999,99,9999,9999,999,99,999,99999.99,2,0,0,30,0,0,55,105,475,775,0,0,0
2023,20230101231223,57,3,14,1,1,0,1,0,999,1,1,1,3,13182200.01081900,28,1,100,100,999,6,40,1,0,999,1,50,1730.76,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,5,0,55,35,235,650,0,0,460
2023,20230101231235,58,1,4,1,1,0,1,0,999,1,1,1,1,2692835.684823000,79,2,100,100,999,3,32,5,99,999,99,9999,99999.99,3,999,99,9999,9999,999,99,999,99999.99,1,1,0,0,60,0,90,135,505,650,0,0,0
2023,20230101231240,59,4,16,2,1,0,1,0,999,2,1,1,5,12778715.15397000,35,1,100,100,999,1,41,1,0,999,1,40,2500.0,1,35,2,100,100,41,1,40,2346.15,1,0,0,0,0,0,65,55,180,585,0,0,555
2023,20230101231263,60,1,15,5,1,1,1,1,3,4,1,1,1,4981674.788735000,73,2,100,100,999,1,32,5,99,999,99,9999,99999.99,1,75,1,100,100,21,3,999,99999.98,2,0,130,0,0,0,60,120,485,540,82,0,0
2023,20230101231264,61,2,15,2,1,0,1,0,999,2,1,1,1,5903246.683764000,56,1,100,100,999,1,43,1,0,999,1,40,2538.46,1,56,2,100,100,41,3,999,99999.98,1,0,0,0,0,0,55,0,115,585,0,0,595
2023,20230101231328,62,3,15,3,1,0,1,0,999,3,1,1,4,34745070.68658600,29,1,100,100,999,6,40,1,0,999,1,40,2500.0,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,0,0,275,30,120,595,0,0,420
2023,20230101231336,63,2,10,1,1,0,1,0,999,1,1,1,3,6229674.499621000,73,2,110,100,999,3,31,5,99,999,99,9999,99999.99,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,210,6,0,30,140,150,904,0,0,0
2023,20230101231349,64,2,15,4,1,1,1,2,11,2,1,1,1,11282256.04408400,42,1,100,100,999,1,21,3,99,999,99,9999,99999.99,1,47,2,100,100,31,1,40,880.0,1,0,30,0,0,0,60,230,515,545,0,0,0
2023,20230101231387,65,1,8,3,2,0,1,0,999,3,1,1,2,22046507.68753400,76,2,100,243,999,1,21,5,99,999,99,9999,99999.99,1,80,1,100,243,21,4,999,99999.98,1,1,0,0,0,0,105,100,705,480,50,0,0
2023,20230101231408,66,1,16,4,1,1,1,2,5,2,1,1,1,6663164.038868000,38,2,100,100,999,1,41,1,0,999,1,40,1576.92,1,50,1,100,100,40,4,999,99999.98,1,0,30,0,0,0,0,105,345,670,90,155,45
2023,20230101231409,67,2,14,4,1,1,1,2,9,2,1,1,3,9198425.143166000,35,1,100,100,999,1,40,1,1,999,1,50,1380.0,1,35,2,100,100,31,1,38,611.8,1,0,30,0,10,0,55,133,0,525,57,0,630
2023,20230101231447,68,1,14,1,1,0,1,0,999,1,1,1,3,7402333.164401000,63,2,100,100,999,3,32,1,0,999,1,38,1538.46,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,0,0,40,27,300,573,0,0,500
2023,20230101231456,69,4,8,1,1,0,1,0,999,1,1,1,1,3142945.902934000,78,2,100,100,999,3,21,5,99,999,99,9999,99999.99,3,999,99,9999,9999,999,99,999,99999.99,2,1,0,0,30,0,40,225,455,610,80,0,0
2023,20230101231480,70,3,12,2,2,0,1,0,999,2,1,1,1,10502446.46450800,23,2,100,100,999,6,40,1,0,999,2,5,85.0,3,999,99,9999,9999,999,99,999,99999.99,1,0,0,0,0,308,30,100,307,630,65,0,0
2023,20230101231489,71,2,14,4,1,1,1,2,5,2,1,1,7,6359183.948315000,37,1,131,100,10,1,40,1,0,999,1,40,1750.0,1,34,2,131,100,41,3,999,99999.98,1,0,240,0,0,0,90,0,300,650,160,0,0
2023,20230101231521,72,2,15,2,1,1,1,1,17,1,1,1,1,4252741.479331000,46,1,100,100,999,4,30,1,0,999,1,40,1711.53,3,999,99,9999,9999,999,99,999,99999.99,1,1,0,0,0,0,132,20,365,765,0,158,0
2023,20230101231547,73,4,16,4,1,1,1,1,14,3,1,1,1,5247388.319754000,47,1,100,100,999,1,31,1,0,999,1,40,99999.99,1,46,2,100,100,31,1,40,807.0,1,0,0,0,0,0,30,435,375,600,0,0,0
2023,20230101231552,74,3,8,2,1,0,1,0,999,2,1,1,1,5518490.081869000,70,2,100,210,999,3,21,5,99,999,99,9999,99999.99,3,999,99,9999,9999,999,99,999,99999.99,1,1,5,0,0,0,160,12,483,630,0,150,0
2023,20230101231553,75,4,9,2,1,0,1,0,999,2,1,1,3,10655161.40587900,43,1,100,100,999,1,32,1,0,999,1,40,1634.61,1,55,2,100,100,41,3,999,99999.98,1,1,0,0,0,0,90,211,15,479,0,0,480
2023,20230101231567,76,2,6,2,1,0,1,0,999,2,1,1,1,2853677.320817000,72,2,100,100,999,1,32,5,99,999,99,9999,99999.99,1,80,1,100,100,13,3,999,99999.98,1,1,0,0,30,0,45,90,295,690,0,290,0
2023,20230101231579,77,3,16,2,1,0,1,0,999,2,1,1,3,8577224.630673000,62,2,100,100,999,1,21,1,1,999,2,12,135.0,1,63,1,100,100,40,3,999,99999.98,1,0,0,224,0,0,60,131,100,557,55,0,313
